StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,2002,6,2.89,78.9,-1.24,-1.24,-1.2,-1.24,428,0,-0.53,-0.87,-1,-0.77,-0.25,-0.23,-0.16,67.4,90.4
106,0,2002,7,4.19,81,0.23,-0.88,0.7,-0.36,514,0,1.01,0.18,-0.29,-0.41,0.03,0.23,0.22,70.2,91.7
106,0,2002,8,2.72,81.3,0.06,-0.94,-0.46,-0.63,533,0,-0.11,0.48,-0.02,-0.3,-0.31,0.02,0.53,69.8,92.8
106,0,2002,9,3.52,75.2,0.07,-0.83,0.06,-0.4,363,4,0.37,0.09,0.53,-0.39,-0.37,-0.03,0.8,63.3,87.2
106,0,2002,10,6.16,61.9,1.66,1.66,4.78,1.66,122,114,1.89,1.66,1.48,0.86,0.5,0.69,1.18,52.8,71
106,0,2002,11,1.99,50.4,1.73,1.73,0.73,1.73,14,364,-0.26,1.39,1.32,1.05,0.57,0.42,0.57,38.6,62.2
106,0,2002,12,3.87,44.8,2.65,2.65,3.3,2.65,6,528,1.35,0.61,1.69,1.78,0.75,0.59,0.8,33.6,55.9
106,0,2003,1,0.61,41.5,2,2,-1.13,1.46,6,655,-2.04,-0.13,-0.33,0.91,0.51,0.29,0.53,29.5,53.5
106,0,2003,2,3.42,43.9,2.61,2.61,2.45,2.61,7,503,1.31,-0.26,0.56,1.34,1.15,0.69,0.55,33.3,54.4
106,0,2003,3,1.86,53.8,-0.42,1.92,-1.26,1.33,35,303,-0.9,0.26,-0.7,0.91,1.12,0.38,0.29,41.6,66.1
106,0,2003,4,2.03,63.7,-0.96,1.14,-1.76,-0.24,102,79,-1.1,-1.33,-0.37,-0.48,0.51,0.25,0.39,50.5,76.9
106,0,2003,5,3,72.3,-1.58,-1.58,-2.14,-1.58,314,15,-0.83,-1.37,-1.6,-0.67,0.25,0.22,0.23,60.4,84.1
106,0,2003,6,5.27,76.1,0.76,-0.66,2.28,0.6,389,3,1.36,0.38,-0.17,-0.5,0.55,0.75,0.41,65.1,87.1
106,0,2003,7,2.67,81.7,0.62,-0.65,-0.18,0.48,531,0,-0.55,0.69,0.07,-0.17,-0.3,0.41,0.5,70.1,93.3
106,0,2003,8,3.19,82.1,0.62,0.62,0.18,0.62,554,0,0.36,-0.22,0.64,-0.52,-0.18,0.47,0.45,70.1,94
106,0,2003,9,3.65,71.8,0.86,0.86,0.92,0.86,275,16,0.48,0.47,0.05,-0.11,-0.4,0.49,0.39,60.5,83.1
